Object_ID, Length, Assignment
M03424:106:000000000-AU667:1:1105:16522:14201/1,36,NA
M03424:106:000000000-AU667:1:1105:17014:17444/1,49,NA
M03424:106:000000000-AU667:1:1105:17365:13720/1,106,NA
M03424:106:000000000-AU667:1:1105:17554:13031/1,301,NA
M03424:106:000000000-AU667:1:1105:17810:4217/1,137,NA
M03424:106:000000000-AU667:1:1105:18157:21698/1,35,NA
M03424:106:000000000-AU667:1:1105:18317:9208/1,149,NA
M03424:106:000000000-AU667:1:1105:18470:19219/1,108,NA
M03424:106:000000000-AU667:1:1105:18729:21076/1,49,NA
M03424:106:000000000-AU667:1:1105:19288:17155/1,205,NA
M03424:106:000000000-AU667:1:1105:19580:22480/1,301,NA
M03424:106:000000000-AU667:1:1105:19707:9731/1,301,1805714
M03424:106:000000000-AU667:1:1105:20034:20644/1,142,NA
M03424:106:000000000-AU667:1:1105:20113:20406/1,123,NA
M03424:106:000000000-AU667:1:1105:20314:12694/1,40,NA
M03424:106:000000000-AU667:1:1105:20376:12055/1,66,NA
M03424:106:000000000-AU667:1:1105:20378:18172/1,77,NA
M03424:106:000000000-AU667:1:1105:20483:5626/1,300,NA
M03424:106:000000000-AU667:1:1105:20504:11465/1,63,857417
M03424:106:000000000-AU667:1:1105:20652:14558/1,165,NA
M03424:106:000000000-AU667:1:1105:21045:15130/1,41,NA
M03424:106:000000000-AU667:1:1105:21477:3077/1,301,NA
M03424:106:000000000-AU667:1:1105:21582:5221/1,81,NA
M03424:106:000000000-AU667:1:1105:21839:20969/1,162,NA
M03424:106:000000000-AU667:1:1105:21919:7292/1,301,NA
M03424:106:000000000-AU667:1:1105:22297:3247/1,35,NA
M03424:106:000000000-AU667:1:1105:23265:9840/1,38,NA
M03424:106:000000000-AU667:1:1105:23273:6314/1,301,NA
M03424:106:000000000-AU667:1:1105:24110:9533/1,45,NA
M03424:106:000000000-AU667:1:1105:24400:9141/1,301,NA
M03424:106:000000000-AU667:1:1105:25008:3504/1,35,NA
M03424:106:000000000-AU667:1:1105:25036:12217/1,103,NA
M03424:106:000000000-AU667:1:1105:26108:5505/1,65,NA
M03424:106:000000000-AU667:1:1105:26131:15702/1,108,NA
M03424:106:000000000-AU667:1:1105:26305:12819/1,301,NA
M03424:106:000000000-AU667:1:1105:27418:20671/1,301,NA
M03424:106:000000000-AU667:1:1106:2352:15070/1,43,NA
M03424:106:000000000-AU667:1:1106:4066:12382/1,60,NA
M03424:106:000000000-AU667:1:1106:4926:18424/1,301,NA
M03424:106:000000000-AU667:1:1106:5539:17216/1,42,NA
M03424:106:000000000-AU667:1:1106:5616:13815/1,301,NA
M03424:106:000000000-AU667:1:1106:5646:17583/1,44,NA
M03424:106:000000000-AU667:1:1106:5890:9781/1,203,NA
M03424:106:000000000-AU667:1:1106:6005:15154/1,116,NA
M03424:106:000000000-AU667:1:1106:6447:23305/1,64,NA
M03424:106:000000000-AU667:1:1106:6580:17591/1,121,NA
M03424:106:000000000-AU667:1:1106:7846:9184/1,76,NA
M03424:106:000000000-AU667:1:1106:8339:20508/1,101,NA
M03424:106:000000000-AU667:1:1106:8494:19911/1,74,NA
M03424:106:000000000-AU667:1:1106:8608:3328/1,47,NA
M03424:106:000000000-AU667:1:1106:9273:5291/1,45,NA
M03424:106:000000000-AU667:1:1106:9521:21716/1,35,NA
M03424:106:000000000-AU667:1:1106:9987:13532/1,45,NA
M03424:106:000000000-AU667:1:1106:10110:7241/1,120,NA
M03424:106:000000000-AU667:1:1106:10333:5207/1,301,NA
M03424:106:000000000-AU667:1:1106:10596:6281/1,301,NA
M03424:106:000000000-AU667:1:1106:10911:17393/1,301,1805714
M03424:106:000000000-AU667:1:1106:11266:20380/1,35,NA
M03424:106:000000000-AU667:1:1106:11269:19515/1,56,NA
M03424:106:000000000-AU667:1:1106:11369:13529/1,118,NA
M03424:106:000000000-AU667:1:1106:11717:6278/1,301,NA
M03424:106:000000000-AU667:1:1106:12481:5357/1,44,NA
M03424:106:000000000-AU667:1:1106:12619:8705/1,156,NA
